,,,,,,EMCS IO List,,,,,,,,,,,,,,,DOCUMENT ID NO:,,,,9832-ELE-3210006035-LST-1010,,,
,,,,,,,,,,,,,,,,,,,,,VENDOR'S DOCUMENT NO.,,,,(3)G37014-K4222-B100005,,,
,,,,,,,,,,,,,,,,,,,,,CHANGE :,,,,ISSUED FOR CONSTRUCTION,,,
,,,,,,,,,,,,,,,,,,,,,REVISION NUMBER:          ,,,,2,,,
,,PROJECT NAME:,,,PCMS PKT Revamp Amonia,,,,,,,,,,,,,,,,,,,,,,,
,,END USER:,,,PT. Pupuk Kalimantan Timur,,,,,,,,,,,,,,,,,,,,,,,
,,CUSTOMER:,,,PT. Tripatra Engineers and Constructors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO.,LINE UP,Tag Number,FEEDER NAME,SIGNAL,DEVICE,SIGNAL TYPE,,, Devices to RTU,,,RTU to EMCS,,,,,,,,,,,,,,REMARKS
,,,,,,,,AI,DI,DO,Protocol,Type,Register / Telegram Address,Protocol,IOA1,,,,,,IOA2,IOA3,Unit,"HMI
SCREEN",EVENT,ALARM,TREND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GT7510-01,,1,SG7560,,Gas Turbine Generator GT-7510,24 - Volts per Hertz relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,1,0,-,X,X,X,-,
GT7510-02,,2,SG7560,,Gas Turbine Generator GT-7510,27 - Undervoltage relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,2,0,-,X,X,X,-,
GT7510-03,,3,SG7560,,Gas Turbine Generator GT-7510,32 - Directional power relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,3,0,-,X,X,X,-,
GT7510-04,,4,SG7560,,Gas Turbine Generator GT-7510,40 - Loss of field relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,4,0,-,X,X,X,-,
GT7510-05,,5,SG7560,,Gas Turbine Generator GT-7510,46 - Reverse-phase or phase-balance current relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,5,0,-,X,X,X,-,
GT7510-06,,6,SG7560,,Gas Turbine Generator GT-7510,49 - Thermal overload relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,6,0,-,X,X,X,-,
GT7510-07,,7,SG7560,,Gas Turbine Generator GT-7510,50 - Instantaneuous Over-current relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,7,0,-,X,X,X,-,
GT7510-08,,8,SG7560,,Gas Turbine Generator GT-7510,51 - Time Over-current relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,8,0,-,X,X,X,-,
GT7510-09,,9,SG7560,,Gas Turbine Generator GT-7510,59 - Overvoltage relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,9,0,-,X,X,X,-,
GT7510-10,,10,SG7560,,Gas Turbine Generator GT-7510,87 - Differential protective relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,10,0,-,X,X,X,-,
GT7510-11,,11,SG7560,,Gas Turbine Generator GT-7510,51G - Ground overcurrent relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,11,0,-,X,X,X,-,
GT7510-12,,12,SG7560,,Gas Turbine Generator GT-7510,51V - Voltage-controlled or voltage-restrained overcurrent relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,12,0,-,X,X,X,-,
GT7510-13,,13,SG7560,,Gas Turbine Generator GT-7510,81 U - Under Frequency relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,13,0,-,X,X,X,-,
GT7510-14,,14,SG7560,,Gas Turbine Generator GT-7510,82 0 - Over Frequency relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,14,0,-,X,X,X,-,
GT7510-15,,15,SG7560,,Gas Turbine Generator GT-7510,47 - Phase sequence voltage relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,15,0,-,X,X,X,-,
GT7510-16,,16,SG7560,,Gas Turbine Generator GT-7510,74 - Trip Circuit Supervision Alarm,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,16,0,-,X,X,X,-,
GT7510-17,,17,SG7560,,Gas Turbine Generator GT-7510,Line-Neutral Voltage (L1-G),TBA,X,-,-,IEC61850,MX,TBA,IEC104,1,,,,,,17,0,kV,X,-,-,X,
GT7510-18,,18,SG7560,,Gas Turbine Generator GT-7510,Line-Neutral Voltage (L2-G),TBA,X,-,-,IEC61850,MX,TBA,IEC104,1,,,,,,18,0,kV,X,-,-,X,
GT7510-19,,19,SG7560,,Gas Turbine Generator GT-7510,Line-Neutral Voltage (L3-G),TBA,X,-,-,IEC61850,MX,TBA,IEC104,1,,,,,,19,0,kV,X,-,-,X,
GT7510-20,,20,SG7560,,Gas Turbine Generator GT-7510,Line-Line Voltage (L1-L2),TBA,X,-,-,IEC61850,MX,TBA,IEC104,1,,,,,,20,0,kV,X,-,-,X,
GT7510-21,,21,SG7560,,Gas Turbine Generator GT-7510,Line-Line Voltage (L1-L3),TBA,X,-,-,IEC61850,MX,TBA,IEC104,1,,,,,,21,0,kV,X,-,-,X,
GT7510-22,,22,SG7560,,Gas Turbine Generator GT-7510,Line-Line Voltage (L2-L3),TBA,X,-,-,IEC61850,MX,TBA,IEC104,1,,,,,,22,0,kV,X,-,-,X,
GT7510-23,,23,SG7560,,Gas Turbine Generator GT-7510,Current Phase L1,TBA,X,-,-,IEC61850,MX,TBA,IEC104,1,,,,,,23,0,Amp,X,-,-,X,
GT7510-24,,24,SG7560,,Gas Turbine Generator GT-7510,Current Phase L2,TBA,X,-,-,IEC61850,MX,TBA,IEC104,1,,,,,,24,0,Amp,X,-,-,X,
GT7510-25,,25,SG7560,,Gas Turbine Generator GT-7510,Current Phase L3,TBA,X,-,-,IEC61850,MX,TBA,IEC104,1,,,,,,25,0,Amp,X,-,-,X,
GT7510-26,,26,SG7560,,Gas Turbine Generator GT-7510,Power Factor,TBA,X,-,-,IEC61850,MX,TBA,IEC104,1,,,,,,26,0,-,X,-,-,X,
GT7510-27,,27,SG7560,,Gas Turbine Generator GT-7510,Frequency,TBA,X,-,-,IEC61850,MX,TBA,IEC104,1,,,,,,27,0,Hz,X,-,-,X,
GT7510-28,,28,SG7560,,Gas Turbine Generator GT-7510,Active Power,TBA,X,-,-,IEC61850,MX,TBA,IEC104,1,,,,,,28,0,kW,X,-,-,X,
GT7510-29,,29,SG7560,,Gas Turbine Generator GT-7510,Reactive Power,TBA,X,-,-,IEC61850,MX,TBA,IEC104,1,,,,,,29,0,Kvar,X,-,-,X,
GT7510-30,,30,SG7560,,Gas Turbine Generator GT-7510,VCB incomer (VCB-7560) at MV SWGR Opened/Closed,TBA,-,X,-,IEC61850,DP,TBA,IEC104,1,,,,,,30,0,-,X,X,-,-,
GT7510-31,,31,SG7560,,Gas Turbine Generator GT-7510,VCB incomer (VCB-7560) at MV SWGR Trip,TBA,-,X,-,IEC61850,SP,TBA,IEC104,1,,,,,,31,0,-,X,X,-,-,
GT7510-32,,32,SG7560,,Gas Turbine Generator GT-7510,GTG Engine Parameters 1,TBA,0,0,0,IEC61850,TBA,TBA,IEC104,1,,,,,,32,0,-,TBA,TBA,TBA,TBA,
GT7510-33,,33,SG7560,,Gas Turbine Generator GT-7510,GTG Engine Parameters 2,TBA,0,0,0,IEC61850,TBA,TBA,IEC104,1,,,,,,33,0,-,TBA,TBA,TBA,TBA,
GT7510-34,,34,SG7560,,Gas Turbine Generator GT-7510,GTG Engine Parameters 3,TBA,0,0,0,IEC61850,TBA,TBA,IEC104,1,,,,,,34,0,-,TBA,TBA,TBA,TBA,
GT7510-35,,35,SG7560,,Gas Turbine Generator GT-7510,GTG Engine Parameters 4,TBA,0,0,0,IEC61850,TBA,TBA,IEC104,1,,,,,,35,0,-,TBA,TBA,TBA,TBA,
GT7510-36,,36,SG7560,,Gas Turbine Generator GT-7510,GTG Engine Parameters 5,TBA,0,0,0,IEC61850,TBA,TBA,IEC104,1,,,,,,36,0,-,TBA,TBA,TBA,TBA,
GT7510-37,,37,SG7560,,Gas Turbine Generator GT-7510,GTG Engine Parameters 6,TBA,0,0,0,IEC61850,TBA,TBA,IEC104,1,,,,,,37,0,-,TBA,TBA,TBA,TBA,
GT7510-38,,38,SG7560,,Gas Turbine Generator GT-7510,GTG Engine Parameters 7,TBA,0,0,0,IEC61850,TBA,TBA,IEC104,1,,,,,,38,0,-,TBA,TBA,TBA,TBA,
GT7510-39,,39,SG7560,,Gas Turbine Generator GT-7510,GTG Engine Parameters 8,TBA,0,0,0,IEC61850,TBA,TBA,IEC104,1,,,,,,39,0,-,TBA,TBA,TBA,TBA,
GT7510-40,,40,SG7560,,Gas Turbine Generator GT-7510,GTG Engine Parameters 9,TBA,0,0,0,IEC61850,TBA,TBA,IEC104,1,,,,,,40,0,-,TBA,TBA,TBA,TBA,
GT7510-41,,41,SG7560,,Gas Turbine Generator GT-7510,GTG Engine Parameters 10,TBA,0,0,0,IEC61850,TBA,TBA,IEC104,1,,,,,,41,0,-,TBA,TBA,TBA,TBA,
GT7510-42,,42,SG7560,,Gas Turbine Generator GT-7510,Synchro command,TBA,-,-,X,IEC61850,SC,TBA,IEC104,1,,,,,,42,0,-,X,X,-,-,
GT7510-43,,43,SG7560,,Gas Turbine Generator GT-7510,Automatic Synchronize Initiate,TBA,-,-,X,IEC61850,SC,TBA,IEC104,1,,,,,,43,0,-,X,X,-,-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GT7520-01,,44,SG7560,,Gas Turbine Generator GT-7520,24 - Volts per Hertz relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,2,,,,,,1,0,-,X,X,X,-,
GT7520-02,,45,SG7560,,Gas Turbine Generator GT-7520,27 - Undervoltage relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,2,,,,,,2,0,-,X,X,X,-,
GT7520-03,,46,SG7560,,Gas Turbine Generator GT-7520,32 - Directional power relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,2,,,,,,3,0,-,X,X,X,-,
GT7520-04,,47,SG7560,,Gas Turbine Generator GT-7520,40 - Loss of field relay,TBA,-,X,-,IEC61850,SP,TBA,IEC104,2,,,,,,4,0,-,X,X,X,-,
